,X,Y,Z
10.9,1.1584956200933736e-05,8.58397734127421e-06,2.7269455717382413e-07
11.0,1.1834756903429518e-05,8.141210156331201e-06,3.654130422366303e-07
11.100000000000001,1.1326873917814852e-05,8.391768622087504e-06,4.337212143967526e-07
11.200000000000001,1.0987037352482474e-05,8.67968248882522e-06,1.2193433106182713e-07
11.3,1.0999952602717066e-05,8.444939396939691e-06,2.6340960023835915e-08
11.4,1.1617351562231386e-05,8.113540622980377e-06,6.269220545000123e-07
11.5,1.1677971600539087e-05,8.097348608485263e-06,7.232694628828523e-07
11.600000000000001,1.126929173337699e-05,7.040097777770514e-06,1.1312818464592465e-06
11.700000000000001,1.1109062660998582e-05,6.959208906415549e-06,9.97142264608307e-07
11.8,1.1181146823422423e-05,6.912299879297666e-06,1.1010900591245094e-06
11.9,1.1451832567242334e-05,7.872094886154564e-06,1.5621007212106624e-06
12.0,1.150947632758457e-05,8.075031640529018e-06,1.4644637552664114e-06
12.100000000000001,1.1565907105047865e-05,8.040546086661465e-06,9.568784571664295e-07
12.200000000000001,1.1815713744975736e-05,7.450703631946836e-06,1.7600862275010257e-06
12.3,1.1944502194847569e-05,7.587626823421424e-06,2.036894219645238e-06
12.4,1.1299252921909009e-05,7.448349076415226e-06,2.0903714469538276e-06
12.5,1.1156577126718792e-05,7.838340892033641e-06,1.7751538631317905e-06
12.600000000000001,1.1506224514968558e-05,8.04260210550508e-06,1.9228091617892383e-06
12.700000000000001,1.133326480177594e-05,8.315618418186098e-06,1.4921271858706833e-06
12.8,1.0576134260460436e-05,7.952222145736754e-06,1.316740037877774e-06
12.9,1.058067785695095e-05,8.296977861996298e-06,1.3263017983495303e-06
13.0,1.0744437158461546e-05,8.251335037589712e-06,1.2248356151401158e-06
13.100000000000001,1.1396346426553331e-05,8.381300759870725e-06,1.3263045938841446e-06
13.200000000000001,1.0864136889886933e-05,8.40264375506428e-06,7.756204984628806e-07
13.3,1.0795284294315619e-05,8.386224243763145e-06,9.894974725737993e-07
13.4,1.0563082215822399e-05,8.537633032192439e-06,1.607835384655777e-06
13.5,1.056905394018109e-05,8.667524519870583e-06,1.4743279962527215e-06
13.600000000000001,1.0463006477261825e-05,8.675645378658112e-06,2.386244168094297e-06
13.700000000000001,1.046929811951322e-05,8.430347330661056e-06,2.86545124244265e-06
13.8,1.044616616483518e-05,7.977806132794554e-06,3.048474359444297e-06
13.9,1.0519605177749293e-05,7.196805619576418e-06,2.9141711595647208e-06
14.0,1.0180909754840012e-05,6.9044829694745545e-06,3.206014409487782e-06
14.100000000000001,9.610131142292209e-06,7.094372847027611e-06,3.5159250066324066e-06
14.200000000000001,9.610359387362744e-06,7.091943458457504e-06,3.2598855081445422e-06
14.3,9.410007649359168e-06,6.626720051891309e-06,3.1788866750949797e-06
14.4,9.567216858876536e-06,7.0267394867625595e-06,2.575179537900673e-06
14.5,9.43675574700046e-06,6.872005697464499e-06,3.193049015016777e-06
14.600000000000001,9.715163056914317e-06,6.749198148829271e-06,3.072857729072126e-06
14.700000000000001,1.0355290651734756e-05,6.643026796142556e-06,3.3731482799101753e-06
14.8,1.0039595678115857e-05,6.874459186467739e-06,2.823803729871495e-06
14.9,9.918430902152388e-06,6.994618078192243e-06,1.835354274519905e-06
15.0,1.0342996595071967e-05,7.2118822774222064e-06,1.5727918331648209e-06
15.100000000000001,1.0350546885254148e-05,7.280326106760518e-06,1.7266543605574385e-06
15.200000000000001,1.0594375202931333e-05,6.392107237534703e-06,1.8867635042617061e-06
15.3,1.0946162251046291e-05,6.147296793018278e-06,1.027328234000271e-06
15.4,1.079784782088142e-05,5.776690320258878e-06,1.1621225163781583e-06
15.5,9.657832326057322e-06,5.782829665466491e-06,6.623265082141515e-07
15.600000000000001,9.765052294352299e-06,6.230114958882042e-06,2.0892198838155076e-07
15.700000000000001,9.273728832231032e-06,6.9103972017284605e-06,4.41272345569914e-07
15.8,9.267597018156596e-06,6.744596831192867e-06,9.971580327323487e-07
15.9,9.026586971794523e-06,6.9262194864107945e-06,1.0067064105262431e-06
16.0,8.53040895028416e-06,6.831573816018375e-06,1.0449748647770263e-06
16.1,8.279464384866447e-06,6.901251787419454e-06,9.453687871366353e-07
16.2,8.218667099925076e-06,7.0271352773651965e-06,1.401569031936051e-06
16.3,7.768145746865048e-06,6.832912132480453e-06,8.949437617698367e-07
16.400000000000002,7.54364847917689e-06,6.321127307127651e-06,9.660428821526418e-07
